lat,lon,rate
-27.52532662613382,-51.363354443280876,1500.0
-27.52615602278607,-51.361865361243055,1500.0
-27.524726404872318,-51.3642773957809,1500.0
-27.526494329315277,-51.361360811131064,1500.0
-27.524693665530783,-51.364461998366814,1500.0
-27.526461589973742,-51.36111469652168,1500.0
-27.525031972059992,-51.365397282745924,1500.0
-27.524660926189245,-51.36464660076946,1500.0
-27.526407024404513,-51.360942419061985,1500.0
-27.52502105894614,-51.36559418792005,1500.0
-27.52473731798616,-51.36513885866502,1500.0
-27.524650013075398,-51.364757363249694,1500.0
-27.525512149069193,-51.366394103592675,1500.0
-27.525446670386117,-51.36571725793542,1500.0
-27.524682752416936,-51.364929662379836,1500.0
-27.526341545721444,-51.36088090905399,1500.0
-27.525392104816888,-51.3666771521446,1500.0
-27.525523062183037,-51.36598800527944,1500.0
-27.52529388679228,-51.3667879145024,1500.0
-27.526276067038374,-51.36081939916803,1500.0
-27.525239321223058,-51.366849453229676,1500.0
-27.52518475565383,-51.366910991895836,1500.0
-27.525130190084603,-51.3669725305009,1500.0
-27.525075624515374,-51.36707098831597,1500.0
-27.526166935899916,-51.360757910708095,1500.0
-27.524999232718454,-51.36715713846752,1500.0
-27.524944667149224,-51.36725559610541,1500.0
-27.52486827535231,-51.367378665308124,1500.0
-27.524813709783082,-51.36746481514202,1500.0
-27.524759144213853,-51.367563272492774,1500.0
-27.524726404872315,-51.36776017965737,1500.0
-27.524737317986165,-51.3681170670381,1500.0
-27.52591593428147,-51.36143482351372,1500.0
-27.52591593428147,-51.36100410830342,1500.0
-27.524704578644627,-51.368400112615404,1500.0
-27.524671839303096,-51.36854779244841,1500.0
-27.524639099961554,-51.36867086053329,1500.0
-27.52460636062002,-51.36875700949977,1500.0
-27.524551795050797,-51.36881854679142,1500.0
-27.523733311512387,-51.369876881639996,1500.0
-27.52421348852159,-51.36974151203616,1500.0
-27.52451905570926,-51.368953921904506,1500.0
-27.52370057217085,-51.36998764062624,1500.0
-27.52422440163543,-51.36913852050149,1500.0
-27.52366783282931,-51.370086096529214,1500.0
-27.524213488521582,-51.3693231184389,1500.0
-27.523635093487776,-51.370209163484084,1500.0
-27.524137096724665,-51.36965538869693,1500.0
-27.52415892295236,-51.369470797264036,1500.0
-27.52358052791855,-51.370332230341226,1500.0
-27.52410435738313,-51.36955694550362,1500.0
-27.52350413612163,-51.370455297100605,1500.0
-27.52336226564164,-51.370578363811106,1500.0
-27.52330770007241,-51.370664511018546,1500.0
-27.52327496073088,-51.37072604707633,1500.0
-27.523264047617026,-51.37078758306082,1500.0
-27.523231308275495,-51.37084911899641,1500.0
-27.524879188466155,-51.36196415962763,1500.0
-27.52492284092154,-51.36165650808639,1500.0
-27.524966493376915,-51.36155805965279,1500.0
-27.523144003364727,-51.370910660501906,1500.0
-27.523111264023196,-51.370972196284775,1500.0
-27.52302395911243,-51.37103373757642,1500.0
-27.524770057327704,-51.361681160936804,1500.0
-27.522969393543207,-51.37109527321877,1500.0
-27.52461727373386,-51.36203805573733,1500.0
-27.524660926189245,-51.36184115948089,1500.0
-27.52290391486013,-51.37115681428435,1500.0
-27.52460636062002,-51.361865781605175,1500.0
-27.5228493492909,-51.37121834977397,1500.0
-27.52447540325387,-51.362087309702474,1500.0
-27.52449722948156,-51.361988861745246,1500.0
-27.522609260786304,-51.37127989072339,1500.0
-27.52257652144477,-51.37134142604808,1500.0
-27.52438809834311,-51.36211194164092,1500.0
-27.52254378210323,-51.371402961311674,1500.0
-27.52247830342016,-51.37146450185793,1500.0
-27.52246739030632,-51.371526036956595,1500.0
-27.52245647719247,-51.37158757199417,1500.0
-27.523929747561603,-51.36211200169839,1500.0
-27.522390998509394,-51.37164911223495,1500.0
-27.522380085395554,-51.3717106471198,1500.0
-27.523897008220064,-51.366062232890236,1500.0
